datetime,portfolio_value,cash,positions,return
2022-11-19 09:29:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-21 08:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-21 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-21 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-22 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-23 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-24 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-24 09:29:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-25 08:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-25 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-25 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-26 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-26 09:29:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-28 08:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-28 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-28 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-29 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
